Name: NSW Legislative Assembly Election Data

Abbreviation: nswla

Tags: Election,Politics,STV

Series Number: 00058

Publication Date: 2023-02-25

Description: <p>The New South Wales (NSW) Legislative Assembly is the lower of two houses of the Parliament of New South Wales, an Australian state. The Assembly comprises 93 seats, each representing one of 93 Districts.</p><p>In these elections voters submitted Optional Preferencial Votes; these ballots required at least one candidate to be specified. The outcome of each election was determined by the Instant-Runoff Voting (IRV) social choice function.</p><p>The data sets posted below correspond to each of the NSW districts in the 2015 and 2019 NSW Legislative Assembly elections. The elements numbered 1-93 correspond to the 2015 elections, while those numbered 94-186 correspond to the 2019 elections.</p>

Required Citations: © State of New South Wales through NSW Electoral Commission, <a href="https://elections.nsw.gov.au/copyright">elections.nsw.gov.au</a>, 2018.

Selected Studies:

file_name, modification_type, relates_to, title, description, publication_date
00058-00000001.soi, original, , Albury 2015, , 2015-03-28
00058-00000002.soi, original, , Auburn 2015, , 2015-03-28
00058-00000003.soi, original, , Ballina 2015, , 2015-03-28
00058-00000004.soi, original, , Balmain 2015, , 2015-03-28
00058-00000005.soi, original, , Bankstown 2015, , 2015-03-28
00058-00000006.soi, original, , Barwon 2015, , 2015-03-28
00058-00000007.soi, original, , Bathurst 2015, , 2015-03-28
00058-00000008.soi, original, , Baulkham Hills 2015, , 2015-03-28
00058-00000009.soi, original, , Bega 2015, , 2015-03-28
00058-00000010.soi, original, , Blacktown 2015, , 2015-03-28
00058-00000011.soi, original, , Blue Mountains 2015, , 2015-03-28
00058-00000012.soi, original, , Cabramatta 2015, , 2015-03-28
00058-00000013.soi, original, , Camden 2015, , 2015-03-28
00058-00000014.soi, original, , Campbelltown 2015, , 2015-03-28
00058-00000015.soi, original, , Canterbury 2015, , 2015-03-28
00058-00000016.soi, original, , Castle Hill 2015, , 2015-03-28
00058-00000017.soi, original, , Cessnock 2015, , 2015-03-28
00058-00000018.soi, original, , Charlestown 2015, , 2015-03-28
00058-00000019.soi, original, , Clarence 2015, , 2015-03-28
00058-00000020.soi, original, , Coffs Harbour 2015, , 2015-03-28
00058-00000021.soi, original, , Coogee 2015, , 2015-03-28
00058-00000022.soi, original, , Cootamundra 2015, , 2015-03-28
00058-00000023.soi, original, , Cronulla 2015, , 2015-03-28
00058-00000024.soi, original, , Davidson 2015, , 2015-03-28
00058-00000025.soi, original, , Drummoyne 2015, , 2015-03-28
00058-00000026.soi, original, , Dubbo 2015, , 2015-03-28
00058-00000027.soi, original, , East Hills 2015, , 2015-03-28
00058-00000028.soi, original, , Epping 2015, , 2015-03-28
00058-00000029.soi, original, , Fairfield 2015, , 2015-03-28
00058-00000030.soi, original, , Gosford 2015, , 2015-03-28
00058-00000031.soi, original, , Goulburn 2015, , 2015-03-28
00058-00000032.soi, original, , Granville 2015, , 2015-03-28
00058-00000033.soi, original, , Hawkesbury 2015, , 2015-03-28
00058-00000034.soi, original, , Heathcote 2015, , 2015-03-28
00058-00000035.soi, original, , Heffron 2015, , 2015-03-28
00058-00000036.soi, original, , Holsworthy 2015, , 2015-03-28
00058-00000037.soi, original, , Hornsby 2015, , 2015-03-28
00058-00000038.soi, original, , Keira 2015, , 2015-03-28
00058-00000039.soi, original, , Kiama 2015, , 2015-03-28
00058-00000040.soi, original, , Kogarah 2015, , 2015-03-28
00058-00000041.soi, original, , Ku-ring-gai 2015, , 2015-03-28
00058-00000042.soi, original, , Lake Macquarie 2015, , 2015-03-28
00058-00000043.soi, original, , Lakemba 2015, , 2015-03-28
00058-00000044.soi, original, , Lane Cove 2015, , 2015-03-28
00058-00000045.soi, original, , Lismore 2015, , 2015-03-28
00058-00000046.soi, original, , Liverpool 2015, , 2015-03-28
00058-00000047.soi, original, , Londonderry 2015, , 2015-03-28
00058-00000048.soi, original, , Macquarie Fields 2015, , 2015-03-28
00058-00000049.soi, original, , Maitland 2015, , 2015-03-28
00058-00000050.soi, original, , Manly 2015, , 2015-03-28
00058-00000051.soi, original, , Maroubra 2015, , 2015-03-28
00058-00000052.soi, original, , Miranda 2015, , 2015-03-28
00058-00000053.soi, original, , Monaro 2015, , 2015-03-28
00058-00000054.soi, original, , Mount Druitt 2015, , 2015-03-28
00058-00000055.soi, original, , Mulgoa 2015, , 2015-03-28
00058-00000056.soi, original, , Murray 2015, , 2015-03-28
00058-00000057.soi, original, , Myall Lakes 2015, , 2015-03-28
00058-00000058.soi, original, , Newcastle 2015, , 2015-03-28
00058-00000059.soi, original, , Newtown 2015, , 2015-03-28
00058-00000060.soi, original, , North Shore 2015, , 2015-03-28
00058-00000061.soi, original, , Northern Tablelands 2015, , 2015-03-28
00058-00000062.soi, original, , Oatley 2015, , 2015-03-28
00058-00000063.soi, original, , Orange 2015, , 2015-03-28
00058-00000064.soi, original, , Oxley 2015, , 2015-03-28
00058-00000065.soi, original, , Parramatta 2015, , 2015-03-28
00058-00000066.soi, original, , Penrith 2015, , 2015-03-28
00058-00000067.soi, original, , Pittwater 2015, , 2015-03-28
00058-00000068.soi, original, , Port Macquarie 2015, , 2015-03-28
00058-00000069.soi, original, , Port Stephens 2015, , 2015-03-28
00058-00000070.soi, original, , Prospect 2015, , 2015-03-28
00058-00000071.soi, original, , Riverstone 2015, , 2015-03-28
00058-00000072.soi, original, , Rockdale 2015, , 2015-03-28
00058-00000073.soi, original, , Ryde 2015, , 2015-03-28
00058-00000074.soi, original, , Seven Hills 2015, , 2015-03-28
00058-00000075.soi, original, , Shellharbour 2015, , 2015-03-28
00058-00000076.soi, original, , South Coast 2015, , 2015-03-28
00058-00000077.soi, original, , Strathfield 2015, , 2015-03-28
00058-00000078.soi, original, , Summer Hill 2015, , 2015-03-28
00058-00000079.soi, original, , Swansea 2015, , 2015-03-28
00058-00000080.soi, original, , Sydney 2015, , 2015-03-28
00058-00000081.soi, original, , Tamworth 2015, , 2015-03-28
00058-00000082.soi, original, , Terrigal 2015, , 2015-03-28
00058-00000083.soi, original, , The Entrance 2015, , 2015-03-28
00058-00000084.soi, original, , Tweed 2015, , 2015-03-28
00058-00000085.soi, original, , Upper Hunter 2015, , 2015-03-28
00058-00000086.soi, original, , Vaucluse 2015, , 2015-03-28
00058-00000087.soi, original, , Wagga Wagga 2015, , 2015-03-28
00058-00000088.soi, original, , Wakehurst 2015, , 2015-03-28
00058-00000089.soi, original, , Wallsend 2015, , 2015-03-28
00058-00000090.soi, original, , Willoughby 2015, , 2015-03-28
00058-00000091.soi, original, , Wollondilly 2015, , 2015-03-28
00058-00000092.soi, original, , Wollongong 2015, , 2015-03-28
00058-00000093.soi, original, , Wyong 2015, , 2015-03-28
00058-00000094.soi, original, , Albury 2019, , 2019-03-23
00058-00000095.soi, original, , Auburn 2019, , 2019-03-23
00058-00000096.soi, original, , Ballina 2019, , 2019-03-23
00058-00000097.soi, original, , Balmain 2019, , 2019-03-23
00058-00000098.soi, original, , Bankstown 2019, , 2019-03-23
00058-00000099.soi, original, , Barwon 2019, , 2019-03-23
00058-00000100.soi, original, , Bathurst 2019, , 2019-03-23
